user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
226863,142335,177933,369715,232480,52543,937635,229850,60989,447165,184723,2123645,288146,28649,39301,54678,1133190,1122161
227607,560491,407007,8629,377581,331557,60260,46660,357358,125640,169969,22655,39301,229850,191533,140806,914720,969481
227652,371738,362983,937635,579298,131021,810787,60992,333017,22015,229850,140806,1179225,43083,173579,11176,222433,55729
229524,95743,347822,288351,251626,382203,187281,222970,482376,117781,129652,57042,47559,174991,26512,24386,89831,189475
229619,133174,269331,38643,124249,60992,147109,128473,54678,27783,329638,22015,35526,131126,91392,140132,316717,373018
229850,226863,95743,969481,339260,937635,808027,58104,142335,52543,185285,1122161,2123645,184723,663997,4470,174991,789516
230557,142335,447165,13483,232480,386849,168462,105601,357358,59473,60260,169969,134624,312577,1581225,43083,121185,226863
231054,264017,485151,9869,189616,38643,969481,400420,44383,222970,124190,407007,324621,218535,68884,59473,33159,57222
232190,1581225,288351,579298,60992,60989,80998,494084,426903,1320105,174096,222433,539686,294000,166642,969481,59163,173579
232480,131126,88099,182624,226863,52543,230557,142335,369715,242484,121185,60989,1581225,13483,252816,168462,357358,447165
240552,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
242484,400420,333017,121185,232480,101732,382203,632249,226066,97579,145352,470351,969481,377581,368078,383346,355637,125388
242766,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
248023,318235,64583,36944,329638,1581225,666723,632249,166294,280271,386585,173579,22655,1072593,189616,47559,810787,174096
250031,341344,37036,128473,203111,28649,65056,844554,1052873,180090,690623,119466,47559,97579,27643,173579,55578,324621
251626,95743,377581,47559,92816,394077,204024,60989,5060,22015,229524,24386,37305,39835,199792,117781,125388,1365025
251917,339260,347822,1122161,222970,174991,373018,383346,199792,382203,104295,937635,8688,288146,121185,53932,229850,68884
252816,146047,1122161,124249,8688,174991,373018,182624,131126,383346,358796,232480,199792,60989,226863,937635,104295,560491
255338,37449,64583,329638,1535,520150,285039,9869,180090,13796,632249,46660,67656,906665,203111,386585,357358,315055
256795,145352,39835,185285,5060,199020,47510,165933,125388,95743,810787,60260,251626,269331,400708,1800054678,53932,663997
262312,22655,35526,47907,280271,359220,58836,88099,540346,136997,64642,53932,1179225,625696,928301,278113,147109,126440
264017,9869,38643,339260,189616,68884,1122161,177753,185446,22015,50969,59473,353131,231054,165933,174991,1581225,173579
265954,160974,57042,126104,386849,121185,470351,43083,839492,37036,222970,1122161,13483,147109,377581,232480,140132,92816
269331,124249,58104,185285,60992,125640,1365025,47559,26512,229619,95743,810787,43083,46660,256795,1800054678,663997,37636
278113,68960,230557,13483,142335,52543,101034,357358,13796,447165,168462,134624,47907,232480,222433,262312,227652,177933
280166,485151,520150,37449,166642,264017,93006,440324,33159,57042,229619,189616,315055,690623,222433,131126,50151,371738
280271,359220,482376,1052873,81611,53932,248023,316717,166294,33159,280166,265954,37636,126440,847160,125640,232480,371738
285039,67656,180090,13796,9869,632249,482376,906665,255338,158086,74281,177933,92886,125388,46660,1320105,368078,625696
286566,104295,76951,27783,37779,520150,35526,1269015,369715,93006,286851,124190,101823,65056,126104,400708,68460,5060
286851,844554,37036,37779,341344,47559,97579,128473,180090,481092,125388,76951,1052873,286566,28649,373018,520150,57042
288146,2123645,204024,105601,1133190,226863,89831,47510,8688,169969,339260,623399,147109,358796,1122161,229850,373018,173880
288351,232190,18391,1581225,95743,579298,359220,229524,80998,60992,426903,60989,369715,400708,134624,355637,26512,494084
294000,174096,400420,173579,560491,124190,32058,232190,80998,142367,357358,55578,57042,333017,315055,199020,11176,248023
298447,171084,969481,620763,400708,13796,187281,47907,285039,7108,43083,256795,789516,177933,808027,103876,142367,134624
305531,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
307214,207176,439797,315055,50151,601528,666723,331557,382203,222564,529278,134624,189616,64642,140132,280166,80998,93006
312577,359220,184723,230557,91392,337963,347822,125640,222433,47559,37305,46660,129652,663997,191533,1269015,593513,135887
315055,440324,37449,307214,371738,105601,400420,89831,520150,255338,174991,539686,169969,294000,174096,529278,288146,37305
316717,38643,789516,187281,7108,47907,461834,663997,280271,229619,117781,198154,74652,331557,189616,382203,81611,207176
318235,37868,632249,189616,1581225,22655,248023,169969,501778,146047,17803,176615,105601,191533,89831,204024,177753,124249
324390,42720,24386,92816,359220,230557,50969,560491,280166,33159,50151,177753,121185,371738,373018,124190,307214,357358
324621,189616,341344,128473,37036,44383,59473,394077,180090,844554,1052873,173579,119466,28649,264017,906665,485151,47559
329638,269331,124249,47559,255338,43083,1365025,1072593,125640,248023,203111,810787,60992,26512,57222,92816,229619,377581
331557,8629,37636,227607,64642,407007,560491,60260,307214,22655,969481,67656,377581,55729,316717,59780,57222,5060
